Index,main_speaker,title,details,posted,url,
2785,Onora O'Neill,What we don't understand about trust,"Trust is on the decline, and we need to rebuild it. That's a commonly heard suggestion for making a better world ... but, says philosopher Onora O'Neill, we don't really understand what we're suggesting. She flips the question, showing us that our three most common ideas about trust are actually misdirected.",Posted Sep 2013,https://www.ted.com/talks/onora_o_neill_what_we_don_t_understand_about_trust,
2786,Stuart Firestein,The pursuit of ignorance,"What does real scientific work look like? As neuroscientist Stuart Firestein jokes: It looks a lot less like the scientific method and a lot more like ""farting around ... in the dark."" In this witty talk, Firestein gets to the heart of science as it is really practiced and suggests that we should value what we don't know -- or ""high-quality ignorance"" -- just as much as what we know.",Posted Sep 2013,https://www.ted.com/talks/stuart_firestein_the_pursuit_of_ignorance,
2787,Aatish Bhatia,The physics of human sperm vs. the physics of the sperm whale,"Traveling is extremely arduous for microscopic sperm -- think of a human trying to swim in a pool made of...other humans. We can compare the journey of a sperm to that of a sperm whale by calculating the Reynolds number, a prediction of how fluid will behave, often fluctuating due to size of the swimmer. Aatish Bhatia explores the great (albeit tiny) sperm's journey. [Directed by Brad Purnell, narrated by Addison Anderson].",Posted Sep 2013,https://www.ted.com/talks/aatish_bhatia_the_physics_of_human_sperm_vs_the_physics_of_the_sperm_whale,
2788,Elizabeth Loftus,How reliable is your memory?,"Psychologist Elizabeth Loftus studies memories. More precisely, she studies false memories, when people either remember things that didn't happen or remember them differently from the way they really were. It's more common than you might think, and Loftus shares some startling stories and statistics --  and raises some important ethical questions.",Posted Sep 2013,https://www.ted.com/talks/elizabeth_loftus_how_reliable_is_your_memory,
2789,Benjamin Barber,Why mayors should rule the world,"It often seems like federal-level politicians care more about creating gridlock than solving the world's problems. So who's actually getting bold things done? City mayors. So, political theorist Benjamin Barber suggests: Let's give them more control over global policy. Barber shows how these ""urban homeboys"" are solving pressing problems on their own turf -- and maybe in the world.",Posted Sep 2013,https://www.ted.com/talks/benjamin_barber_why_mayors_should_rule_the_world,
2790,Lucianne Walkowicz,"Light waves, visible and invisible","Each kind of light has a unique wavelength, but human eyes can only perceive a tiny slice of the full spectrum -- the very narrow range from red to violet. Microwaves, radio waves, x-rays and more are hiding, invisible, just beyond our perception. Lucianne Walkowicz shows us the waves we can't see. [Directed by Pew36 Animation Studios, narrated by Lucianne Walkowicz].",Posted Sep 2013,https://www.ted.com/talks/lucianne_walkowicz_light_waves_visible_and_invisible,
2791,Andras Forgacs,Leather and meat without killing animals,"By 2050, it will take 100 billion land animals to provide the world's population with meat, dairy, eggs and leather goods. Maintaining this herd will take a huge, potentially unsustainable toll on the planet. What if there were a different way? In this eye-opening talk, tissue engineering advocate Andras Forgacs argues that biofabricating meat and leather is a civilized way to move past killing animals for hamburgers and handbags.",Posted Sep 2013,https://www.ted.com/talks/andras_forgacs_leather_and_meat_without_killing_animals,
2792,Eric Berlow and Sean Gourley,Mapping ideas worth spreading,"What do 24,000 ideas look like? Ecologist Eric Berlow and physicist Sean Gourley apply algorithms to the entire archive of TEDx Talks, taking us on a stimulating visual tour to show how ideas connect globally.",Posted Sep 2013,https://www.ted.com/talks/eric_berlow_and_sean_gourley_mapping_ideas_worth_spreading,
2793,Marla Spivak,Why bees are disappearing,"Honeybees have thrived for 50 million years, each colony 40 to 50,000 individuals coordinated in amazing harmony. So why, seven years ago, did colonies start dying en masse? Marla Spivak reveals four reasons which are interacting with tragic consequences. This is not simply a problem because bees pollinate a third of the world's crops. Could this incredible species be holding up a mirror for us?",Posted Sep 2013,https://www.ted.com/talks/marla_spivak_why_bees_are_disappearing,
2794,James Lyne,Everyday cybercrime — and what you can do about it,"How do you pick up a malicious online virus, the kind of malware that snoops on your data and taps your bank account? Often, it's through simple things you do each day without thinking twice. James Lyne reminds us that it's not only the NSA that's watching us, but ever-more-sophisticated cybercriminals, who exploit both weak code and trusting human nature.",Posted Sep 2013,https://www.ted.com/talks/james_lyne_everyday_cybercrime_and_what_you_can_do_about_it,
2795,Apollo Robbins,The art of misdirection,"Hailed as the greatest pickpocket in the world, Apollo Robbins studies the quirks of human behavior as he steals your watch. In a hilarious demonstration, Robbins samples the buffet of the TEDGlobal 2013 audience, showing how the flaws in our perception make it possible to swipe a wallet and leave it on its owner’s shoulder while they remain clueless.",Posted Sep 2013,https://www.ted.com/talks/apollo_robbins_the_art_of_misdirection,
2796,Vance Kite,"Urbanization and the evolution of cities across 10,000 years","About 10,000 years ago, hunter-gatherers, aided by rudimentary agriculture, moved to semi-permanent villages and never looked back. With further developments came food surpluses, leading to commerce, specialization and, many years later with the Industrial Revolution, the modern city. Vance Kite plots our urban past and how we can expect future cities to adapt to our growing populations. [Directed by Keaton Tips, narrated by Michelle Snow].",Posted Sep 2013,https://www.ted.com/talks/vance_kite_urbanization_and_the_evolution_of_cities_across_10_000_years,
2797,Sonia Shah,3 reasons we still haven’t gotten rid of malaria,"We’ve known how to cure malaria since the 1600s, so why does the disease still kill hundreds of thousands every year? It’s more than just a problem of medicine, says journalist Sonia Shah. A look into the history of malaria reveals three big-picture challenges to its eradication. Photos: Adam Nadel.",Posted Sep 2013,https://www.ted.com/talks/sonia_shah_3_reasons_we_still_haven_t_gotten_rid_of_malaria,
2798,Ron McCallum,How technology allowed me to read,"Months after he was born, in 1948, Ron McCallum became blind. In this charming, moving talk, he shows how he reads -- and celebrates the progression of clever tools and adaptive computer technologies that make it possible. With their help, and the help of volunteers, he's become a lawyer, an academic, and, most of all, a voracious reader. Welcome to the blind reading revolution.",Posted Sep 2013,https://www.ted.com/talks/ron_mccallum_how_technology_allowed_me_to_read,
2799,Craig A. Kohn,What are stem cells?,"Is personalized medicine for individual bodies in our future? Possibly -- with the use of stem cells, undifferentiated cells with the power to become any tissue in our bodies. Craig A. Kohn describes the role of these incredible, transforming cells and how scientists are harnessing their medical potential. [Directed by Qa'ed Mai, narrated by Michael Molina].",Posted Sep 2013,https://www.ted.com/talks/craig_a_kohn_what_are_stem_cells,
2800,Jake Barton,The museum of you,"A third of the world watched live as the World Trade Center collapsed on September 11, 2001; a third more heard about it within 24 hours. (Do you remember where you were?) So exhibits at the soon-to-open 9/11 Memorial Museum will reflect the diversity of the world's experiences of that day. In a moving talk, designer Jake Barton gives a peek at some of those installations, as well as several other projects that aim to make the observer an active participant in the exhibit.",Posted Sep 2013,https://www.ted.com/talks/jake_barton_the_museum_of_you,
2801,Brad Troeger,What is love?,"Is love a signal winding through your neural pathways? A cliche? A cult? Love is easy to compare but difficult to define, maybe because we're fundamentally biased; we try to define love while falling in or out of it. And love feels differently to every person who feels it, but this subjective emotion has evolutionary explanations, too. Brad Troeger takes a shot at the definition of love. [Directed by STK Films, narrated by Addison Anderson].",Posted Sep 2013,https://www.ted.com/talks/brad_troeger_what_is_love,
2802,George Monbiot,"For more wonder, rewild the world","Wolves were once native to the US' Yellowstone National Park -- until hunting wiped them out. But when, in 1995, the wolves began to come back (thanks to an aggressive management program), something interesting happened: the rest of the park began to find a new, more healthful balance. In a bold thought experiment, George Monbiot imagines a wilder world in which humans work to restore the complex, lost natural food chains that once surrounded us.",Posted Sep 2013,https://www.ted.com/talks/george_monbiot_for_more_wonder_rewild_the_world,
2803,Alexa Meade,Your body is my canvas,"Alexa Meade takes an innovative approach to art. Not for her a life of sketching and stretching canvases. Instead, she selects a topic and then paints it--literally. She covers everything in a scene--people, chairs, food, you name it--in a mask of paint that mimics what's below it. In this eye-opening talk Meade shows off photographs of some of the more outlandish results, and shares a new project involving people, paint and milk.",Posted Sep 2013,https://www.ted.com/talks/alexa_meade_your_body_is_my_canvas,
2804,Chrystia Freeland,The rise of the new global super-rich,"Technology is advancing in leaps and bounds -- and so is economic inequality, says writer Chrystia Freeland. In an impassioned talk, she charts the rise of a new class of plutocrats (those who are extremely powerful because they are extremely wealthy), and suggests that globalization and new technology are actually fueling, rather than closing, the global income gap. Freeland lays out three problems with plutocracy … and one glimmer of hope.",Posted Sep 2013,https://www.ted.com/talks/chrystia_freeland_the_rise_of_the_new_global_super_rich,
2805,Kelly McGonigal,How to make stress your friend,"Stress. It makes your heart pound, your breathing quicken and your forehead sweat. But while stress has been made into a public health enemy, new research suggests that stress may only be bad for you if you believe that to be the case. Psychologist Kelly McGonigal urges us to see stress as a positive, and introduces us to an unsung mechanism for stress reduction: reaching out to others.",Posted Sep 2013,https://www.ted.com/talks/kelly_mcgonigal_how_to_make_stress_your_friend,
2806,Andrew Vanden Heuvel,The moon illusion,"Have you noticed how the full moon looks bigger on the horizon than high overhead? Actually, the two images are exactly the same size -- so why do we perceive them differently? Scientists aren't sure, but there are plenty of intriguing theories. Andrew Vanden Heuvel unravels the details of focus, distance and proportion that contribute to this mystifying optical illusion. [Directed by Kozmonot Animation Studio, narrated by Michelle Snow].",Posted Sep 2013,https://www.ted.com/talks/andrew_vanden_heuvel_the_moon_illusion,
2807,Adam Spencer,Why I fell in love with monster prime numbers,"They're millions of digits long, and it takes an army of mathematicians and machines to hunt them down -- what's not to love about monster primes? Adam Spencer, comedian and lifelong math geek, shares his passion for these odd numbers, and for the mysterious magic of math.",Posted Sep 2013,https://www.ted.com/talks/adam_spencer_why_i_fell_in_love_with_monster_prime_numbers,
2808,Michael Molina,What is déjà vu? What is déjà vu?,"You might have felt it -- the feeling that you've experienced something before, but, in reality, the experience is brand new. There are over 40 theories that attempt to explain the phenomenon of déjà vu. Michael Molina explains how neuroimaging and cognitive psychology have narrowed down the theories that could explain that feeling you're having...again. [Directed by Josh Harris, narrated by Michelle Snow].",Posted Aug 2013,https://www.ted.com/talks/michael_molina_what_is_deja_vu_what_is_deja_vu,
2809,Camille Seaman,The Arctic vs. the Antarctic,"How can you tell the two poles apart? Where are the penguins? What about the bears? The Arctic pole is located in the Northern Hemisphere within the deep Arctic Ocean, while the Antarctic pole is smack in the middle of the ice-covered Antarctica. Camille Seaman describes how enterprising people and organisms have found ways to reside around both poles despite the frigid temperatures. [Directed by Iuri Araújo &amp; Guilherme Araújo, narrated by Michelle Snow].",Posted Aug 2013,https://www.ted.com/talks/camille_seaman_the_arctic_vs_the_antarctic,
2810,May El-Khalil,Making peace is a marathon,"In Lebanon there is one gunshot a year that isn’t part of a scene of routine violence: The opening sound of the Beirut International Marathon. In a moving talk, marathon founder May El-Khalil explains why she believed a 26.2-mile running event could bring together a country divided for decades by politics and religion, even if for one day a year.",Posted Aug 2013,https://www.ted.com/talks/may_el_khalil_making_peace_is_a_marathon,
2811,Peter Mende-Siedlecki,Should you trust your first impression?,"You can't help it; sometimes, you just get a bad feeling about someone that's hard to shake. So, what's happening in your brain when you make that critical (and often lasting) first judgment? Peter Mende-Siedlecki shares the social psychology of first impressions -- and why they may indicate that, deep down, people are basically good. [Directed by TOGETHER: Words+Pictures for Art &amp; Culture, narrated by Addison Anderson]. ",Posted Aug 2013,https://www.ted.com/talks/peter_mende_siedlecki_should_you_trust_your_first_impression,
2812,Steve Ramirez and Xu Liu,A mouse. A laser beam. A manipulated memory.,"Can we edit the content of our memories? It's a sci-fi-tinged question that Steve Ramirez and Xu Liu are asking in their lab at MIT. Essentially, the pair shoot a laser beam into the brain of a living mouse to activate and manipulate its memory. In this unexpectedly amusing talk they share not only how, but -- more important -- why they do this.",Posted Aug 2013,https://www.ted.com/talks/steve_ramirez_and_xu_liu_a_mouse_a_laser_beam_a_manipulated_memory,
2813,Jeff Steers,Who won the space race?,"On October 4, 1957, the Soviet Union launched the satellite Sputnik and, with it, an international space race. The United States and the Soviet Union rushed to declare dominance of space for 18 years, until the two countries agreed to a more collaborative model. The real winner? Science. Jeff Steers describes the history -- and the benefits -- of the space race. [Directed by Nadav Arbel, narrated by Addison Anderson].",Posted Aug 2013,https://www.ted.com/talks/jeff_steers_who_won_the_space_race,
2814,Russell Foster,Why do we sleep?,"Russell Foster is a circadian neuroscientist: He studies the sleep cycles of the brain. And he asks: What do we know about sleep? Not a lot, it turns out, for something we do with one-third of our lives. In this talk, Foster shares three popular theories about why we sleep, busts some myths about how much sleep we need at different ages -- and hints at some bold new uses of sleep as a predictor of mental health.",Posted Aug 2013,https://www.ted.com/talks/russell_foster_why_do_we_sleep,
2815,Shigeru Ban,Emergency shelters made from paper,"Long before sustainability was a buzzword, architect Shigeru Ban was using ecologically sound building materials such as cardboard tubes. He uses them to build remarkable temporary structures for disaster-struck nations such as Haiti, Rwanda and Japan. Yet often, these buildings remain a beloved part of the landscape long after they have served their intended purpose.",Posted Aug 2013,https://www.ted.com/talks/shigeru_ban_emergency_shelters_made_from_paper,
2816,Margaret Heffernan,The dangers of willful blindness,"Gayla Benefield was just doing her job -- until she uncovered an awful secret about her hometown that meant its mortality rate was 80 times higher than anywhere else in the US. But when she tried to tell people about it, she learned an even more shocking truth: People didn't want to know. In a talk that's part history lesson, part call-to-action, Margaret Heffernan demonstrates the danger of willful blindness, and praises ordinary people like Benefield who are willing to speak up.",Posted Aug 2013,https://www.ted.com/talks/margaret_heffernan_the_dangers_of_willful_blindness,
2817,Derek Paravicini and Adam Ockelford,In the key of genius,"Born three and a half months prematurely, Derek Paravicini is blind and has severe autism. But with perfect pitch, innate talent and a lot of practice, he became a concert pianist by the age of 10. Here, his longtime piano teacher, Adam Ockelford, explains his student's unique relationship to music, while Paravicini shows how he has ripped up the ""Chopsticks"" rulebook.",Posted Aug 2013,https://www.ted.com/talks/derek_paravicini_and_adam_ockelford_in_the_key_of_genius,
2818,Eleanor Longden,The voices in my head,"To all appearances, Eleanor Longden was just like every other student, heading to college full of promise and without a care in the world. That was until the voices in her head started talking. Initially innocuous, these internal narrators became increasingly antagonistic and dictatorial, turning her life into a living nightmare. Diagnosed with schizophrenia, hospitalized, drugged, Longden was discarded by a system that didn't know how to help her. Longden tells the moving tale of her years-long journey back to mental health, and makes the case that it was through learning to listen to her voices that she was able to survive.",Posted Aug 2013,https://www.ted.com/talks/eleanor_longden_the_voices_in_my_head,
2819,Saki Mafundikwa,Ingenuity and elegance in ancient African alphabets,"From simple alphabets to secret symbolic languages, graphic designer Saki Mafundikwa celebrates the many forms of written communication across the continent of Africa. He highlights the history and legacy that are embodied in written words and symbols, and urges African designers to draw on these graphic forms for fresh inspiration. It's summed up in his favorite Ghanaian glyph, Sankofa, which means ""return and get it"" -- or ""learn from the past.""",Posted Aug 2013,https://www.ted.com/talks/saki_mafundikwa_ingenuity_and_elegance_in_ancient_african_alphabets,
2820,Jinsop Lee,Design for all 5 senses,"Good design looks great, yes -- but why shouldn't it also feel great, smell great and sound great? Designer Jinsop Lee (a TED Talent Search winner) shares his theory of 5-sense design, with a handy graph and a few examples. His hope: to inspire you to notice great multisensory experiences.",Posted Aug 2013,https://www.ted.com/talks/jinsop_lee_design_for_all_5_senses,
2821,Daniel H. Cohen,For argument's sake,"Why do we argue? To out-reason our opponents, prove them wrong, and, most of all, to win! Right? Philosopher Daniel H. Cohen shows how our most common form of argument -- a war in which one person must win and the other must lose -- misses out on the real benefits of engaging in active disagreement.",Posted Aug 2013,https://www.ted.com/talks/daniel_h_cohen_for_argument_s_sake,
2822,Beardyman,The polyphonic me,"Frustrated by not being able to sing two notes at the same time, musical inventor Beardyman built a machine to allow him to create loops and layers from just the sounds he makes with his voice. Given that he can effortlessly conjure the sound of everything from crying babies to buzzing flies, not to mention mimic pretty much any musical instrument imaginable, that's a lot of different sounds. Sit back and let the wall of sound of this dazzling performance wash over you.",Posted Aug 2013,https://www.ted.com/talks/beardyman_the_polyphonic_me,
2823,Peter van Manen,Better baby care — thanks to Formula 1,"During a Formula 1 race, a car sends hundreds of millions of data points to its garage for real-time analysis and feedback. So why not use this detailed and rigorous data system elsewhere, like at children's hospitals? Peter van Manen tells us more.",Posted Aug 2013,https://www.ted.com/talks/peter_van_manen_better_baby_care_thanks_to_formula_1,
2824,Julie Taymor,"Spider-Man, The Lion King and life on the creative edge","Showing spectacular clips from productions such as Frida, The Tempest and The Lion King, director Julie Taymor describes a life spent immersed in theater and the movies. Filmed right as controversy over her Broadway production of Spider-Man: Turn Off the Dark was at its peak, she candidly describes the tensions inherent within her creative process, as she strives both to capture the essence of a story--and produce images and experiences unlike anything else.",Posted Jul 2013,https://www.ted.com/talks/julie_taymor_spider_man_the_lion_king_and_life_on_the_creative_edge,
2825,Eli Beer,The fastest ambulance? A motorcycle,"As a young EMT on a Jerusalem ambulance, Eli Beer realized that, stuck in brutal urban traffic, they often arrived too late to help. So he organized a group of volunteer EMTs -- many on foot -- ready to drop everything and dash to save lives in their neighborhood. Today, United Hatzlah uses a smartphone app and a fleet of ""ambucycles"" to help nearby patients until an ambulance arrives. With an average response time of 3 minutes, last year, they treated 207,000 people in Israel. And the idea is going global.",Posted Jul 2013,https://www.ted.com/talks/eli_beer_the_fastest_ambulance_a_motorcycle,
2826,Bastian Schaefer,A 3D-printed jumbo jet?,"Designer Bastian Schaefer shows off a speculative design for the future of jet planes, with a skeleton inspired by strong, flexible, natural forms and by the needs of the world's, ahem, growing population. Imagine an airplane that's full of light and space -- and built up from generative parts in a 3D printer.",Posted Jul 2013,https://www.ted.com/talks/bastian_schaefer_a_3d_printed_jumbo_jet,
2827,Tania Luna,How a penny made me feel like a millionaire,"As a young child, Tania Luna left her home in post-Chernobyl Ukraine to take asylum in the US. And one day, on the floor of the New York homeless shelter where she and her family lived, she found a penny. She has never again felt so rich. A meditation on the bittersweet joys of childhood -- and how to hold them in mind.",Posted Jul 2013,https://www.ted.com/talks/tania_luna_how_a_penny_made_me_feel_like_a_millionaire,
2828,Ami Angelowicz,The terrors of sleep paralysis,"Imagine you're fast asleep and then suddenly awake. You want to move but can't, as if someone is sitting on your chest. And you can't even scream! This is sleep paralysis, a creepy but common phenomenon caused by an overlap in REM sleep and waking stages. Ami Angelowicz describes just how pervasive (but harmless) it is and introduces a cast of characters from sleep paralysis around the world. [Directed by Pew36 Animation Studios, narrated by Ami Angelowicz].",Posted Jul 2013,https://www.ted.com/talks/ami_angelowicz_the_terrors_of_sleep_paralysis,
2829,Paul Kemp-Robertson,Bitcoin. Sweat. Tide. Meet the future of branded currency.,"Currency -- the bills and coins you carry in your wallet and in your bank account -- is founded on marketing, on the belief that banks and governments are trustworthy. Now, Paul Kemp-Robertson walks us through a new generation of currency, supported by that same marketing ... but on behalf of a private brand. From Nike Sweat Points to bottles of Tide (which are finding an unexpected use in illegal markets), meet the non-bank future of currencies.",Posted Jul 2013,https://www.ted.com/talks/paul_kemp_robertson_bitcoin_sweat_tide_meet_the_future_of_branded_currency,
2830,Roberto D'Angelo + Francesca Fedeli,"In our baby's illness, a life lesson","Roberto D'Angelo and Francesca Fedeli thought their baby boy Mario was healthy -- until at 10 days old, they discovered he'd had a perinatal stroke. With Mario unable to control the left side of his body, they grappled with tough questions: Would he be ""normal?” Could he live a full life? The poignant story of parents facing their fears -- and how they turned them around.",Posted Jul 2013,https://www.ted.com/talks/roberto_d_angelo_francesca_fedeli_in_our_baby_s_illness_a_life_lesson,
2831,Kate Stone,DJ decks made of ... paper,"""I love paper, and I love technology,"" says physicist and former sheep herder Kate Stone, who's spent the past decade working to unite the two. Her experiments combine regular paper with conductive inks and tiny circuit boards to offer a unique, magical experience. To date, applications include a newspaper embedded with audio and video, posters that display energy usage in real time, and the extremely nifty paper drumkit and set of DJ decks she demonstrates onstage.",Posted Jul 2013,https://www.ted.com/talks/kate_stone_dj_decks_made_of_paper,
2832,John McWhorter,A brief history of plural word...s,"All it takes is a simple S to make most English words plural. But it hasn't always worked that way (and there are, of course, exceptions). John McWhorter looks back to the good old days when English was newly split from German -- and books, names and eggs were beek, namen and eggru! [Directed by Lippy, narrated by John McWhorter].",Posted Jul 2013,https://www.ted.com/talks/john_mcwhorter_a_brief_history_of_plural_word_s,
2833,John Searle,Our shared condition — consciousness,"Philosopher John Searle lays out the case for studying human consciousness -- and systematically shoots down some of the common objections to taking it seriously. As we learn more about the brain processes that cause awareness, accepting that consciousness is a biological phenomenon is an important first step. And no, he says, consciousness is not a massive computer simulation.",Posted Jul 2013,https://www.ted.com/talks/john_searle_our_shared_condition_consciousness,
2834,Tom Thum,The orchestra in my mouth,"In a highly entertaining performance, beatboxer Tom Thum slings beats, comedy and a mouthful of instrumental impersonations into 11 minutes of creativity and fun that will make you smile.",Posted Jul 2013,https://www.ted.com/talks/tom_thum_the_orchestra_in_my_mouth,
2835,Tim Hansen,How to read music,"Like an actor's script, a sheet of music instructs a musician on what to play (the pitch) and when to play it (the rhythm). Sheet music may look complicated, but once you've gotten the hang of a few simple elements like notes, bars and clefs, you're ready to rock. Tim Hansen hits the instrumental basics you need to read music. [Directed by Thomas Parrinello, narrated by Tim Hansen].",Posted Jul 2013,https://www.ted.com/talks/tim_hansen_how_to_read_music,
2836,Pico Iyer,Where is home?,"More and more people worldwide are living in countries not considered their own. Writer Pico Iyer  -- who himself has three or four “origins” -- meditates on the meaning of home, the joy of traveling and the serenity of standing still.",Posted Jul 2013,https://www.ted.com/talks/pico_iyer_where_is_home,
2837,Gavin Pretor-Pinney,Cloudy with a chance of joy,"You don't need to plan an exotic trip to find creative inspiration. Just look up, says Gavin Pretor-Pinney, founder of the Cloud Appreciation Society. As he shares charming photos of nature's finest aerial architecture, Pretor-Pinney calls for us all to take a step off the digital treadmill, lie back and admire the beauty in the sky above.",Posted Jul 2013,https://www.ted.com/talks/gavin_pretor_pinney_cloudy_with_a_chance_of_joy,
2838,Kelli Sandman-Hurley,What is dyslexia?,"Dyslexia affects up to 1 in 5 people, but the experience of dyslexia isn't always the same. This difficulty in processing language exists along a spectrum -- one that doesn't necessarily fit with labels like ""normal"" and ""defective."" Kelli Sandman-Hurley urges us to think again about dyslexic brain function and to celebrate the neurodiversity of the human brain. [Directed by Marc Christoforidis, narrated by Michelle Snow].",Posted Jul 2013,https://www.ted.com/talks/kelli_sandman_hurley_what_is_dyslexia,
2839,Bernie Krause,The voice of the natural world,"Bernie Krause has been recording wild soundscapes -- the wind in the trees, the chirping of birds, the subtle sounds of insect larvae -- for 45 years. In that time, he has seen many environments radically altered by humans, sometimes even by practices thought to be environmentally safe. A surprising look at what we can learn through nature's symphonies, from the grunting of a sea anemone to the sad calls of a beaver in mourning.",Posted Jul 2013,https://www.ted.com/talks/bernie_krause_the_voice_of_the_natural_world,
2840,Al Vernacchio,Sex needs a new metaphor. Here's one ...,"For some reason, says educator Al Vernacchio, the metaphors for talking about sex in the US all come from baseball -- scoring, getting to first base, etc. The problem is, this frames sex as a competition, with a winner and a loser. Instead, he suggests a new metaphor, one that's more about shared pleasure, discussion and agreement, fulfillment and enjoyment. Let's talk about … pizza.",Posted Jul 2013,https://www.ted.com/talks/al_vernacchio_sex_needs_a_new_metaphor_here_s_one,
2841,James Earle,Da Vinci's Vitruvian Man of math,"What's so special about Leonardo da Vinci's Vitruvian Man? With arms outstretched, the man fills the irreconcilable spaces of a circle and a square -- symbolizing the Renaissance-era belief in the mutable nature of humankind. James Earle explains the geometric, religious and philosophical significance of this deceptively simple drawing. [Directed by Franz Palomares, narrated by James Earle].",Posted Jul 2013,https://www.ted.com/talks/james_earle_da_vinci_s_vitruvian_man_of_math,
2842,Jack Andraka,A promising test for pancreatic cancer ... from a teenager,"Over 85 percent of all pancreatic cancers are diagnosed late, when someone has less than two percent chance of survival. How could this be? Jack Andraka talks about how he developed a promising early detection test for pancreatic cancer that's super cheap, effective and non-invasive -- all before his 16th birthday.",Posted Jul 2013,https://www.ted.com/talks/jack_andraka_a_promising_test_for_pancreatic_cancer_from_a_teenager,
2843,Reynaldo Lopes,The infinite life of pi,"The ratio of a circle's circumference to its diameter is always the same: 3.14159... and on and on (literally!) forever. This irrational number, pi, has an infinite number of digits, so we'll never figure out its exact value no matter how close we seem to get. Reynaldo Lopes explains pi's vast applications to the study of music, financial models, and even the density of the universe. [Directed by Igor Coric, narrated by Addison Anderson]. ",Posted Jul 2013,https://www.ted.com/talks/reynaldo_lopes_the_infinite_life_of_pi,
2844,"Diana Reiss, Peter Gabriel, Neil Gershenfeld and Vint Cerf",The interspecies internet? An idea in progress,"Apes, dolphins and elephants are animals with remarkable communication skills. Could the internet be expanded to include sentient species like them? A new and developing idea from a panel of four great thinkers -- dolphin researcher Diana Reiss, musician Peter Gabriel, internet of things visionary Neil Gershenfeld and Vint Cerf, one of the fathers of the internet.",Posted Jul 2013,https://www.ted.com/talks/diana_reiss_peter_gabriel_neil_gershenfeld_and_vint_cerf_the_interspecies_internet_an_idea_in_progress,
2845,Terisa Folaron,Comma story,"It isn't easy holding complex sentences together (just ask a conjunction or a subordinate), but the clever little comma can help lighten the load. But how to tell when help is really needed? Terisa Folaron offers some tricks of the comma trade. [Directed by Brett Underhill, narrated by Julianna Zarzycki]. ",Posted Jul 2013,https://www.ted.com/talks/terisa_folaron_comma_story,
2846,Michael Green,Why we should build wooden skyscrapers,"Building a skyscraper? Forget about steel and concrete, says architect Michael Green, and build it out of … wood. As he details in this intriguing talk, it's not only possible to build safe wooden structures up to 30 stories tall (and, he hopes, higher), it's necessary.",Posted Jul 2013,https://www.ted.com/talks/michael_green_why_we_should_build_wooden_skyscrapers,
2847,Alex Gendler,Myths and misconceptions about evolution,"How does evolution really work? Actually, not how some of our common evolutionary metaphors would have us believe. For instance, it's species, not individual organisms, that adapt to produce evolution, and genes don't ""want"" to be passed on -- a gene can't want anything at all! Alex Gendler sets the record straight on the finer points of evolution. [Directed by Giant Animation Studios, narrated by Julianna Zarzycki]. ",Posted Jul 2013,https://www.ted.com/talks/alex_gendler_myths_and_misconceptions_about_evolution,
2848,Charmian Gooch,Meet global corruption's hidden players,"When the son of the president of a desperately poor country starts buying mansions and sportscars on an official monthly salary of $7,000, Charmian Gooch suggests, corruption is probably somewhere in the picture. In a blistering, eye-opening talk (with several specific examples), she details how global corruption trackers follow the money -- to some surprisingly familiar faces.",Posted Jul 2013,https://www.ted.com/talks/charmian_gooch_meet_global_corruption_s_hidden_players,
2849,Dr. Matt J. Carlson,Free falling in outer space,"If you were to orbit the Earth, you'd experience the feeling of free fall, not unlike what your stomach feels before a big dive on a roller coaster. With a little help from Sir Isaac Newton, Matt J. Carlson explains the basic forces acting on an astronaut and why you probably shouldn't try this one at home. [Directed by Josh Harris, narrated by Matt J. Carlson].",Posted Jul 2013,https://www.ted.com/talks/dr_matt_j_carlson_free_falling_in_outer_space,
2850,Sleepy Man Banjo Boys,Bluegrass virtuosity from ... New Jersey?,"All under the age of 16, brothers Jonny, Robbie and Tommy Mizzone are from New Jersey, a US state that's better known for the rock of Bruce Springsteen than the bluegrass of Earl Scruggs. Nonetheless, the siblings began performing bluegrass covers, as well as their own compositions, at a young age. Here, they play three dazzling songs in three different keys, passing the lead back and forth from fiddle to banjo to guitar.",Posted Jul 2013,https://www.ted.com/talks/sleepy_man_banjo_boys_bluegrass_virtuosity_from_new_jersey,
2851,Jinha Lee,Reach into the computer and grab a pixel,"The border between our physical world and the digital information surrounding us has been getting thinner and thinner. Designer and engineer Jinha Lee wants to dissolve it altogether. As he demonstrates in this short, gasp-inducing talk, his ideas include a pen that penetrates into a screen to draw 3D models and SpaceTop, a computer desktop prototype that lets you reach through the screen to manipulate digital objects.",Posted Jul 2013,https://www.ted.com/talks/jinha_lee_reach_into_the_computer_and_grab_a_pixel,
2852,Joel Selanikio,The big-data revolution in health care,"Collecting global health data is an imperfect science: Workers tramp through villages to knock on doors and ask questions, write the answers on paper forms, then input the data -- and from this messy, gappy information, countries and NGOs need to make huge decisions. Data geek Joel Selanikio talks through the sea change in collecting health data in the past decade -- starting with the PalmPilot and Hotmail, and now moving into the cloud.",Posted Jul 2013,https://www.ted.com/talks/joel_selanikio_the_big_data_revolution_in_health_care,
